VM Name,Cores,Memory,RequiresSSD
VM-185,4,8,N
VM-186,1,8,N
VM-187,4,8,N
VM-188,2,4,N
VM-189,4,32,N
VM-190,1,4,N
VM-191,4,8,N
VM-192,4,16,N
VM-193,2,5,N
VM-194,4,8,N
VM-195,2,4,N
VM-196,4,16,N
VM-197,2,4,N
VM-198,4,32,N
VM-199,2,5,N
VM-200,2,8,N
VM-201,2,5,N
VM-202,2,4,N
VM-203,2,4,N
VM-204,4,16,N
VM-205,2,8,N
VM-206,8,16,N
VM-207,8,16,N
VM-208,4,12,N
VM-209,2,8,N
VM-210,2,14,N
VM-211,2,4,N
VM-212,2,5,N
VM-213,1,6,N
VM-214,2,8,N
VM-215,2,20,N
VM-216,1,8,N
VM-217,4,12,N
VM-218,2,6,N
VM-219,2,7,N
VM-220,2,5,N
VM-221,2,5,N
VM-222,2,7,N
VM-223,2,7,N
VM-224,2,4,N
VM-225,2,5,N
VM-226,1,4,N
VM-227,4,5,N
VM-228,1,4,N
VM-229,2,8,N
VM-230,4,32,N
VM-231,2,5,N
VM-232,2,8,N
VM-233,2,4,N
VM-234,2,8,N
VM-235,4,4,N
VM-236,2,8,N
VM-237,4,4,N
VM-238,24,32,N
VM-239,8,8,N
VM-240,1,2,N
VM-241,2,2,N
VM-242,1,2,N
VM-243,2,8,N
VM-244,4,8,N
VM-245,2,6,N
VM-246,2,10,N
VM-247,2,6,N
VM-248,1,2,N
VM-249,2,8,N
VM-250,2,32,N
VM-251,2,13,N
VM-252,2,4,N
VM-253,2,6,N
VM-254,2,4,N
VM-255,1,8,N
VM-256,4,8,N
VM-257,2,5,N
VM-258,2,4,N
VM-259,1,8,N
VM-260,2,8,N
VM-261,1,8,N
VM-262,4,28,N
VM-263,2,4,N
VM-264,4,28,N
VM-265,2,32,N
VM-266,1,2,N
VM-267,2,12,N
VM-268,1,2,N
VM-269,2,16,N
VM-270,8,64,N
VM-271,1,10,N
VM-272,2,16,N
VM-273,2,10,N
VM-274,3,2,N
VM-275,1,8,N
VM-276,8,16,N
VM-277,2,4,N
VM-278,2,8,N
VM-279,1,3,N
VM-280,4,16,N
VM-281,2,7,N
VM-282,2,8,N
VM-283,1,4,N
VM-284,8,56,N
VM-285,2,9,N
VM-286,2,4,N
VM-287,1,8,N
VM-288,2,8,N
VM-289,1,2,N
VM-290,8,14,N
VM-291,1,2,N
VM-292,1,6,N
VM-293,1,2,N
VM-294,4,8,N
VM-295,1,2,N
VM-296,4,16,N
VM-297,2,8,N
VM-298,2,8,N
VM-299,1,2,N
VM-300,2,8,N
VM-301,1,2,N
VM-302,2,8,N
VM-303,2,12,N
VM-304,2,4,N
VM-305,1,4,N
VM-306,4,12,N
VM-307,4,10,N
VM-308,4,12,N
VM-309,1,6,N
VM-310,4,12,N
VM-311,2,8,N
VM-312,4,12,N
VM-313,2,4,N
VM-314,8,8,N
VM-315,2,48,N
VM-316,3,6,N
VM-317,16,192,N
VM-318,1,4,N
VM-319,2,32,N
VM-320,1,2,N
VM-321,2,8,N
VM-322,2,8,N
VM-323,1,4,N
VM-324,2,6,N
VM-325,2,4,N
VM-326,2,6,N
VM-327,2,4,N
VM-328,2,8,N
VM-329,2,6,N
VM-330,1,2,N
VM-331,2,4,N
VM-332,1,2,N
VM-333,2,4,N
VM-334,1,2,N
VM-335,1,4,N
VM-336,2,4,N
VM-337,2,11,N
VM-338,1,6,N
VM-339,2,4,N
VM-340,2,8,N
VM-341,1,8,N
VM-342,8,64,N
VM-343,1,7,N
VM-344,1,6,N
VM-345,1,8,N
VM-346,2,16,N
VM-347,2,32,N
VM-348,6,32,N
VM-349,1,4,N
VM-350,4,10,N
VM-351,2,5,N
VM-352,2,8,N
VM-353,2,32,N
VM-354,2,2,N
VM-355,1,4,N
VM-356,2,12,N
VM-357,1,4,N
VM-358,1,4,N
VM-359,1,4,N
VM-360,1,4,N
VM-361,2,2,N
VM-362,2,4,N
VM-363,2,8,N
VM-364,2,8,N
VM-365,2,16,N
VM-366,1,4,N
VM-367,2,8,N
VM-368,1,4,N
VM-369,2,4,N
VM-370,1,4,N
VM-371,2,4,N
VM-372,1,4,N
VM-373,8,64,N
VM-374,1,2,N
VM-375,1,2,N
VM-376,2,8,N
VM-377,1,6,N
VM-378,1,2,N
VM-379,2,4,N
VM-380,1,2,N
VM-381,4,8,N
VM-382,1,2,N
VM-383,2,8,N
VM-384,2,4,N
VM-385,1,6,N
VM-386,1,2,N
VM-387,1,4,N
VM-388,12,256,N
VM-389,1,8,N
VM-390,4,8,N
VM-391,2,6,N
VM-392,2,8,N
VM-393,2,4,N
VM-394,4,16,N
VM-395,1,4,N
VM-396,2,4,N
VM-397,2,8,N
VM-398,1,10,N
VM-399,2,32,N
VM-400,1,12,N
VM-401,2,32,N
VM-402,2,8,N
VM-403,2,5,N
VM-404,2,14,N
VM-405,2,4,N
VM-406,2,8,N
VM-407,2,4,N
VM-408,1,2,N
VM-409,2,5,N
VM-410,1,2,N
VM-411,2,5,N
VM-412,4,16,N
VM-413,2,4,N
VM-414,1,2,N
VM-415,4,12,N
VM-416,4,6,N
VM-417,2,14,N
VM-418,4,28,N
VM-419,2,4,N
VM-420,4,8,N
VM-421,2,5,N
VM-422,1,6,N
VM-423,2,64,N
VM-424,2,8,N
VM-425,2,16,N
VM-426,2,20,N
VM-427,1,2,N
VM-428,1,8,N
VM-429,1,8,N
VM-430,4,12,N
VM-431,2,4,N
VM-432,2,6,N
VM-433,4,8,N
VM-434,2,7,N
VM-435,4,32,N
VM-436,2,5,N
VM-437,2,8,N
VM-438,2,5,N
VM-439,4,16,N
VM-440,2,7,N
VM-441,1,6,N
VM-442,2,7,N
VM-443,1,8,N
VM-444,2,5,N
VM-445,24,32,N
VM-446,4,5,N
VM-447,2,16,N
VM-448,2,8,N
VM-449,4,10,N
VM-450,2,5,N
VM-451,2,6,N
VM-452,2,4,N
VM-453,2,8,N
VM-454,4,4,N
VM-455,2,16,N
VM-456,4,4,N
VM-457,1,6,N
VM-458,2,2,N
VM-459,2,8,N
VM-460,2,8,N
VM-461,8,16,N
VM-462,2,6,N
VM-463,4,16,N
VM-464,2,6,N
VM-465,4,8,N
VM-466,2,8,N
VM-467,1,10,N
VM-468,2,13,N
VM-469,1,2,N
VM-470,2,6,N
VM-471,1,2,N
VM-472,1,8,N
VM-473,1,6,N
VM-474,2,5,N
VM-475,1,2,N
VM-476,1,8,N
VM-477,1,2,N
VM-478,1,8,N
VM-479,1,2,N
VM-480,2,4,N
VM-481,2,8,N
VM-482,2,12,N
VM-483,4,16,N
VM-484,2,16,N
VM-485,1,6,N
VM-486,1,10,N
VM-487,1,2,N
VM-488,2,10,N
VM-489,2,8,N
VM-490,1,8,N
VM-491,1,2,N
VM-492,2,4,N
VM-493,4,16,N
VM-494,1,3,N
VM-495,2,4,N
VM-496,2,7,N
VM-497,1,4,N
VM-498,1,4,N
VM-499,4,12,N
VM-500,2,9,N
VM-501,1,8,N
VM-502,1,16,N
VM-503,2,10,N
VM-504,1,2,N
VM-505,4,28,N
VM-506,1,2,N
VM-507,1,6,N
VM-508,2,4,N
VM-509,1,4,N
VM-510,1,4,N
VM-511,4,16,N
VM-512,1,2,N
VM-513,1,10,N
VM-514,1,2,N
VM-515,2,4,N
VM-516,2,8,N
VM-517,1,4,N
VM-518,1,2,N
VM-519,8,60,N
VM-520,1,2,N
VM-521,2,4,N
VM-522,2,8,N
VM-523,2,8,N
VM-524,2,4,N
VM-525,2,16,N
VM-526,1,4,N
VM-527,2,20,N
VM-528,1,4,N
VM-529,1,6,N
VM-530,2,8,N
VM-531,1,4,N
VM-532,2,8,N
VM-533,2,4,N
VM-534,2,8,N
VM-535,1,4,N
VM-536,2,4,N
VM-537,2,48,N
VM-538,2,8,N
VM-539,2,16,N
VM-540,4,12,N
VM-541,4,8,N
VM-542,4,12,N
VM-543,2,4,N
VM-544,4,12,N
VM-545,2,16,N
VM-546,4,12,N
VM-547,4,8,N
VM-548,2,8,N
VM-549,4,8,N
VM-550,1,4,N
VM-551,4,16,N
VM-552,2,4,N
VM-553,4,16,N
VM-554,2,4,N
VM-555,2,4,N
VM-556,2,6,N
VM-557,2,4,N
VM-558,2,4,N
VM-559,1,4,N
VM-560,2,4,N
VM-561,1,2,N
VM-562,1,4,N
VM-563,1,2,N
VM-564,2,11,N
VM-565,4,8,N
VM-566,2,4,N
VM-567,4,28,N
VM-568,1,8,N
VM-569,4,8,N
VM-570,1,7,N
VM-571,1,2,N
VM-572,1,8,N
VM-573,2,16,N
VM-574,1,4,N
VM-575,1,4,N
VM-576,2,5,N
VM-577,1,6,N
VM-578,1,4,N
VM-579,2,4,N
VM-580,1,4,N
VM-581,2,8,N
VM-582,1,4,N
VM-583,1,2,N
VM-584,2,4,N
VM-585,2,8,N
VM-586,2,8,N
VM-587,2,4,N
VM-588,1,4,N
VM-589,1,3,N
VM-590,1,4,N
VM-591,4,8,N
VM-592,1,4,N
VM-593,1,2,N
VM-594,1,4,N
VM-595,2,16,N
VM-596,1,8,N
VM-597,1,2,N
VM-598,2,8,N
VM-599,4,28,N
VM-600,2,16,N
VM-601,4,8,N
VM-602,2,8,N
VM-603,1,4,N
VM-604,1,2,N
VM-605,4,8,N
VM-606,1,2,N
VM-607,2,2,N
VM-608,1,2,N
VM-609,4,32,N
VM-610,2,4,N
VM-611,1,2,N
VM-612,1,2,N
VM-613,4,8,N
VM-614,1,4,N
VM-615,1,6,N
VM-616,1,8,N
VM-617,1,6,N
VM-618,2,4,N
VM-619,1,16,N
VM-620,1,4,N
VM-621,2,8,N
VM-622,2,5,N
VM-623,1,2,N
VM-624,2,4,N
VM-625,1,2,N
VM-626,2,4,N
VM-627,1,2,N
VM-628,2,5,N
VM-629,4,8,N
VM-630,2,5,N
VM-631,1,4,N
VM-632,2,4,N
VM-633,1,2,N
VM-634,4,12,N
VM-635,4,10,N
VM-636,2,14,N
VM-637,2,8,N
VM-638,2,4,N
VM-639,1,6,N
VM-640,2,5,N
VM-641,4,28,N
VM-642,1,6,N
VM-643,1,6,N
VM-644,2,8,N
VM-645,1,3,N
VM-646,2,20,N
VM-647,2,4,N
VM-648,1,8,N
VM-649,4,16,N
VM-650,4,12,N
VM-651,1,2,N
VM-652,2,6,N
VM-653,1,8,N
VM-654,2,7,N
VM-655,2,16,N
VM-656,2,5,N
VM-657,2,6,N
VM-658,2,5,N
VM-659,1,10,N
VM-660,2,7,N
VM-661,2,7,N
VM-662,2,8,N
VM-663,2,5,N
VM-664,2,8,N
VM-665,4,5,N
VM-666,1,2,N
VM-667,2,8,N
VM-668,1,4,N
VM-669,2,5,N
VM-670,1,8,N
VM-671,2,4,N
VM-672,4,16,N
VM-673,4,4,N
VM-674,4,8,N
VM-675,4,4,N
VM-676,2,16,N
VM-677,2,2,N
VM-678,1,8,N
VM-679,2,8,N
VM-680,2,4,N
VM-681,2,6,N
VM-682,4,12,N
VM-683,2,6,N
VM-684,1,6,N
VM-685,2,8,N
VM-686,4,8,N
VM-687,2,13,N
VM-688,2,8,N
VM-689,2,6,N
VM-690,4,4,N
VM-691,1,8,N
VM-692,1,6,N
VM-693,2,5,N
VM-694,2,4,N
VM-695,1,8,N
VM-696,1,4,N
VM-697,1,8,N
VM-698,2,16,N
VM-699,2,4,N
VM-700,12,256,N
VM-701,2,12,N
VM-702,4,32,N
VM-703,2,16,N
VM-704,1,2,N
VM-705,1,10,N
VM-706,4,16,N
VM-707,2,10,N
VM-708,1,4,N
VM-709,1,8,N
VM-710,1,6,N
VM-711,2,4,N
VM-712,2,8,N
VM-713,1,3,N
VM-714,1,4,N
VM-715,1,4,N
VM-716,1,4,N
VM-717,2,16,N
VM-718,2,9,N
VM-719,2,20,N
VM-720,1,8,N
VM-721,1,4,N
VM-722,1,2,N
VM-723,4,16,N
VM-724,1,2,N
VM-725,1,2,N
VM-726,1,2,N
VM-727,1,2,N
VM-728,2,16,N
VM-729,2,8,N
VM-730,2,2,N
VM-731,1,2,N
VM-732,1,4,N
VM-733,1,2,N
VM-734,2,8,N
VM-735,2,8,N
VM-736,2,4,N
VM-737,2,4,N
VM-738,1,2,N
VM-739,4,12,N
VM-740,4,8,N
VM-741,4,12,N
VM-742,2,24,N
VM-743,4,12,N
VM-744,1,4,N
VM-745,4,12,N
VM-746,1,6,N
VM-747,2,8,N
VM-748,2,8,N
VM-749,1,4,N
VM-750,2,16,N
VM-751,2,4,N
VM-752,1,12,N
VM-753,2,4,N
VM-754,1,4,N
VM-755,2,6,N
VM-756,4,16,N
VM-757,2,4,N
VM-758,2,8,N
VM-759,2,4,N
VM-760,1,8,N
VM-761,1,4,N
VM-762,1,6,N
VM-763,2,11,N
VM-764,2,20,N
VM-765,2,4,N
VM-766,2,4,N
VM-767,1,8,N
VM-768,2,8,N
VM-769,1,7,N
VM-770,2,16,N
VM-771,1,8,N
VM-772,1,6,N
VM-773,1,4,N
VM-774,4,4,N
VM-775,2,5,N
VM-776,1,4,N
VM-777,1,4,N
VM-778,1,14,N
VM-779,1,4,N
VM-780,1,2,N
VM-781,1,4,N
VM-782,1,8,N
VM-783,2,4,N
VM-784,1,2,N
VM-785,2,8,N
VM-786,1,2,N
VM-787,1,4,N
VM-788,2,4,N
VM-789,1,4,N
VM-790,1,8,N
VM-791,1,4,N
VM-792,1,4,N
VM-793,1,4,N
VM-794,2,16,N
VM-795,1,2,N
VM-796,1,2,N
VM-797,1,2,N
VM-798,1,4,N
VM-799,1,2,N
VM-800,2,12,N
VM-801,1,2,N
VM-802,2,6,N
VM-803,2,4,N
VM-804,1,8,N
VM-805,1,2,N
VM-806,1,2,N
VM-807,1,4,N
VM-808,2,12,N
VM-809,1,8,N
VM-810,4,16,N
VM-811,1,4,N
VM-812,1,6,N
VM-813,2,4,N
VM-814,1,5,N
VM-815,1,4,N
VM-816,2,8,N
VM-817,4,28,N
VM-818,2,8,N
VM-819,2,2,N
VM-820,4,16,N
VM-821,1,2,N
VM-822,1,4,N
VM-823,2,8,N
VM-824,2,8,N
VM-825,2,8,N
VM-826,2,16,N
VM-827,1,2,N
VM-828,2,16,N
VM-829,1,8,N
VM-830,4,16,N
VM-831,2,16,N
VM-832,2,8,N
VM-833,1,2,N
VM-834,1,7,N
VM-835,4,16,N
VM-836,2,8,N
VM-837,1,6,N
VM-838,2,4,N
VM-839,1,4,N
VM-840,1,6,N
VM-841,4,4,N
VM-842,1,4,N
VM-843,4,64,N
VM-844,2,6,N
VM-845,1,8,N
VM-846,1,2,N
VM-847,1,6,N
VM-848,4,64,N
VM-849,2,16,N
VM-850,2,16,N
VM-851,2,8,N
VM-852,4,16,N
VM-853,2,8,N
VM-854,2,4,N
VM-855,1,4,N
VM-856,2,8,N
VM-857,2,8,N
VM-858,1,4,N
VM-859,1,4,N
VM-860,6,16,N
VM-861,4,16,N
VM-862,2,8,N
VM-863,16,128,N
VM-864,8,64,N
VM-865,4,16,N
VM-866,2,8,N
VM-867,6,6,N
VM-868,12,24,N
VM-869,1,8,N
VM-870,2,8,N
VM-871,1,6,N
VM-872,2,16,N
VM-873,2,8,N
VM-874,2,8,N
VM-875,2,16,N
VM-876,2,8,N
VM-877,1,7,N
VM-878,2,16,N
VM-879,8,16,N
VM-880,1,6,N
VM-881,2,8,N
VM-882,2,12,N
VM-883,2,8,N
VM-884,1,2,N
VM-885,4,24,N
VM-886,1,2,N
VM-887,1,4,N
VM-888,1,4,N
VM-889,2,4,N
VM-890,2,8,N
VM-891,2,16,N
VM-892,2,16,N
VM-893,2,8,N
VM-894,4,8,N
VM-895,1,4,N
VM-896,1,14,N
VM-897,2,8,N
VM-898,1,6,N
VM-899,2,6,N
VM-900,2,8,N
VM-901,1,2,N
VM-902,2,8,N
VM-903,4,28,N
VM-904,1,4,N
VM-905,2,6,N
VM-906,1,2,N
VM-907,2,4,N
VM-908,8,48,N
VM-909,2,8,N
VM-910,2,4,N
VM-911,2,8,N
VM-912,4,8,N
VM-913,1,4,N
VM-914,2,4,N
VM-915,2,8,N
VM-916,2,4,N
VM-917,2,8,N
VM-918,2,4,N
VM-919,1,4,N
VM-920,2,4,N
VM-921,2,4,N
VM-922,4,32,N
VM-923,1,2,N
VM-924,2,4,N
VM-925,2,16,N
VM-926,4,12,N
VM-927,8,60,N
VM-928,4,12,N
VM-929,1,4,N
VM-930,4,12,N
VM-931,1,2,N
VM-932,4,12,N
VM-933,4,16,N
VM-934,2,4,N
VM-935,2,10,N
VM-936,2,4,N
VM-937,8,20,N
VM-938,2,4,N
VM-939,1,2,N
VM-940,2,4,N
VM-941,4,7,N
VM-942,2,4,N
VM-943,2,12,N
VM-944,2,4,N
VM-945,2,8,N
VM-946,2,4,N
VM-947,1,2,N
VM-948,8,8,N
VM-949,1,4,N
VM-950,8,8,N
VM-951,1,2,N
VM-952,8,8,N
VM-953,1,6,N
VM-954,8,12,N
VM-955,2,8,N
VM-956,2,5,N
VM-957,2,16,N
VM-958,2,4,N
VM-959,2,64,N
VM-960,2,4,N
VM-961,2,8,N
VM-962,2,5,N
VM-963,4,32,N
VM-964,2,5,N
VM-965,1,8,N
VM-966,2,4,N
VM-967,12,24,N
VM-968,4,12,N
VM-969,3,20,N
VM-970,2,14,N
VM-971,1,2,N
VM-972,2,4,N
VM-973,2,6,N
VM-974,2,5,N
VM-975,4,4,N
VM-976,1,6,N
VM-977,4,8,N
VM-978,2,8,N
VM-979,4,16,N
VM-980,2,20,N
VM-981,1,6,N
VM-982,1,8,N
VM-983,2,16,N
VM-984,4,12,N
VM-985,2,8,N
VM-986,2,6,N
VM-987,2,2,N
VM-988,2,7,N
VM-989,2,4,N
VM-990,2,5,N
VM-991,1,2,N
VM-992,2,5,N
VM-993,1,10,N
VM-994,2,7,N
VM-995,2,16,N
VM-996,2,7,N
VM-997,1,4,N
VM-998,2,5,N
VM-999,8,24,N
VM-1000,4,5,N
VM-1001,1,2,N
VM-1002,2,8,N
VM-1003,1,6,N
VM-1004,2,5,N
VM-1005,8,64,N
VM-1006,2,4,N
VM-1007,8,64,N
VM-1008,4,4,N
VM-1009,1,4,N
VM-1010,4,4,N
VM-1011,4,10,N
VM-1012,2,2,N
VM-1013,1,8,N
VM-1014,2,8,N
VM-1015,2,16,N
VM-1016,2,6,N
VM-1017,4,16,N
VM-1018,2,6,N
VM-1019,4,64,N
VM-1020,2,8,N
VM-1021,1,4,N
VM-1022,2,13,N
VM-1023,1,6,N
VM-1024,2,6,N
VM-1025,4,8,N
VM-1026,1,8,N
VM-1027,4,8,N
VM-1028,2,5,N
VM-1029,1,2,N
VM-1030,1,8,N
VM-1031,2,10,N
VM-1032,1,8,N
VM-1033,1,6,N
VM-1034,2,4,N
VM-1035,2,16,N
VM-1036,2,32,N
VM-1037,1,2,N
VM-1038,2,12,N
VM-1039,12,256,N
VM-1040,2,16,N
VM-1041,4,16,N
VM-1042,1,10,N
VM-1043,1,4,N
VM-1044,2,10,N
VM-1045,2,4,N
VM-1046,1,8,N
VM-1047,2,18,N
VM-1048,2,4,N
VM-1049,4,16,N
VM-1050,2,7,N
VM-1051,4,12,N
VM-1052,1,4,N
VM-1053,1,2,N
VM-1054,2,9,N
VM-1055,1,6,N
VM-1056,1,8,N
VM-1057,1,2,N
VM-1058,2,16,N
VM-1059,4,8,N
VM-1060,1,2,N
VM-1061,1,6,N
VM-1062,1,2,N
VM-1063,1,12,N
VM-1064,2,8,N
VM-1065,12,24,N
VM-1066,1,2,N
VM-1067,4,8,N
VM-1068,1,2,N
VM-1069,12,256,N
VM-1070,2,4,N
VM-1071,2,8,N
VM-1072,1,4,N
VM-1073,4,8,N
VM-1074,2,32,N
VM-1075,8,64,N
VM-1076,2,8,N
VM-1077,2,8,N
VM-1078,1,4,N
VM-1079,8,14,N
VM-1080,2,4,N
VM-1081,4,10,N
VM-1082,2,4,N
VM-1083,8,32,N
VM-1084,2,6,N
VM-1085,1,3,N
VM-1086,2,4,N
VM-1087,4,16,N
VM-1088,2,4,N
VM-1089,2,8,N
VM-1090,1,4,N
VM-1091,2,16,N
VM-1092,2,11,N
VM-1093,1,2,N
VM-1094,2,4,N
VM-1095,4,10,N
VM-1096,1,8,N
VM-1097,8,32,N
VM-1098,1,7,N
VM-1099,2,8,N
VM-1100,4,6,N
VM-1101,1,2,N
VM-1102,1,8,N
VM-1103,2,16,N
VM-1104,2,32,N
VM-1105,4,8,N
VM-1106,1,4,N
VM-1107,1,2,N
VM-1108,2,5,N
VM-1109,2,6,N
VM-1110,2,32,N
VM-1111,1,16,N
VM-1112,1,4,N
VM-1113,4,16,N
VM-1114,1,4,N
VM-1115,2,8,N
VM-1116,2,8,N
VM-1117,2,8,N
VM-1118,2,16,N
VM-1119,2,8,N
VM-1120,6,25,N
VM-1121,1,4,N
VM-1122,4,10,N
VM-1123,1,4,N
VM-1124,1,2,N
VM-1125,1,4,N
VM-1126,4,16,N
VM-1127,2,4,N
VM-1128,2,8,N
VM-1129,2,4,N
VM-1130,1,2,N
VM-1131,2,8,N
VM-1132,2,8,N
VM-1133,1,4,N
VM-1134,12,24,N
VM-1135,1,4,N
VM-1136,12,256,N
VM-1137,1,4,N
VM-1138,2,8,N
VM-1139,1,4,N
VM-1140,4,24,N
VM-1141,1,8,N
VM-1142,2,16,N
VM-1143,2,8,N
VM-1144,1,9,N
VM-1145,2,16,N
VM-1146,8,64,N
VM-1147,2,8,N
VM-1148,1,2,N
VM-1149,1,2,N
VM-1150,2,2,N
VM-1151,1,2,N
VM-1152,1,6,N
VM-1153,1,2,N
VM-1154,4,16,N
VM-1155,2,4,N
VM-1156,4,8,N
VM-1157,1,2,N
VM-1158,1,4,N
VM-1159,1,4,N
VM-1160,2,8,N
VM-1161,1,8,N
VM-1162,2,4,N
VM-1163,1,10,N
VM-1164,1,4,N
VM-1165,2,8,N
VM-1166,2,4,N
VM-1167,2,8,N
VM-1168,1,4,N
VM-1169,1,2,N
VM-1170,2,8,N
VM-1171,2,6,N
VM-1172,2,12,N
VM-1173,2,4,N
VM-1174,4,32,N
VM-1175,1,2,N
VM-1176,1,2,N
VM-1177,1,2,N
VM-1178,6,12,N
VM-1179,2,4,N
VM-1180,1,6,N
VM-1181,2,8,N
VM-1182,2,4,N
VM-1183,1,6,N
VM-1184,2,4,N
VM-1185,4,10,N
VM-1186,2,4,N
VM-1187,4,28,N
VM-1188,2,4,N
VM-1189,2,16,N
VM-1190,2,4,N
VM-1191,1,6,N
VM-1192,2,4,N
VM-1193,2,4,N
VM-1194,6,12,N
VM-1195,1,2,N
VM-1196,2,16,N
VM-1197,4,32,N
VM-1198,4,4,N
VM-1199,4,32,N
VM-1200,2,8,N
VM-1201,4,16,N
VM-1202,1,8,N
VM-1203,1,2,N
VM-1204,2,8,N
VM-1205,4,12,N
VM-1206,2,16,N
VM-1207,1,6,N
VM-1208,1,8,N
VM-1209,1,8,N
VM-1210,6,12,N
VM-1211,2,8,N
VM-1212,4,8,N
VM-1213,1,8,N
VM-1214,4,12,N
VM-1215,2,6,N
VM-1216,4,8,N
VM-1217,4,8,N
VM-1218,4,8,N
VM-1219,4,16,N
VM-1220,2,8,N
VM-1221,1,3,N
VM-1222,2,8,N
VM-1223,1,12,N
VM-1224,4,8,N
VM-1225,2,48,N
VM-1226,4,8,N
VM-1227,1,2,N
VM-1228,4,8,N
VM-1229,4,4,N
VM-1230,4,8,N
VM-1231,4,8,N
VM-1232,4,8,N
VM-1233,1,4,N
VM-1234,4,4,N
VM-1235,4,16,N
VM-1236,4,4,N
VM-1237,4,4,N
VM-1238,2,2,N
VM-1239,4,16,N
VM-1240,4,8,N
VM-1241,2,8,N
VM-1242,4,8,N
VM-1243,1,4,N
VM-1244,4,12,N
VM-1245,2,16,N
VM-1246,2,8,N
